title,old_tags,new_tags,add_tag,reason
A Timeline Of Ayodhya,ayodhya-history|ancient-urban-sites|indian-chronology,ayodhya-history|ancient-urban-sites|indian-chronology|svayambodha,svayambodha,Recovering Ayodhya's continuous civilizational timeline — reclaiming historical memory as svayambodha
German Indology Aryanism and Anti Semitism,german-indology|race-theory|antisemitism,german-indology|race-theory|antisemitism|purva-paksha,purva-paksha,Critical analysis of Aryan race science in German Indology — pure purva-paksha: engaging hostile Western scholarship on its own terms
Ideas of History in Sanskrit Literature,sanskrit-historiography|literary-history|historical-consciousness,sanskrit-historiography|literary-history|historical-consciousness|svayambodha,svayambodha,Recovering Sanskrit historical consciousness on its own terms — the subcontinent's own framework for history
Indian Historical Writing,indian-historiography|vamsavalis|oral-tradition,indian-historiography|vamsavalis|oral-tradition|svayambodha,svayambodha,Vamsavali oral tradition as legitimate history — recovery of indigenous modes of historical knowing
Indian Science and Technology in the 18th Century,technology-history|eighteenth-century-india|scientific-practice,technology-history|eighteenth-century-india|scientific-practice|svayambodha,svayambodha,Dharampal documenting pre-colonial Indian science — core civilizational recovery and self-knowledge work
Jews and Hindus in Indology,comparative-reception|indological-method|jewish-hindu-comparison,comparative-reception|indological-method|jewish-hindu-comparison|purva-paksha,purva-paksha,Comparative reception study of how Indology treated Jewish and Hindu texts — methodological critique of the discipline
Paradigm Lost the Application of the Historical Critical Method to the Bhagavadgita,historical-critical-method|bhagavad-gita|textual-interpretation,historical-critical-method|bhagavad-gita|textual-interpretation|purva-paksha,purva-paksha,Direct engagement with Western historical-critical method applied to the Gita — paradigm case of purva-paksha
The Origins of Racism in the Humanities,race-theory|philology|humanities-history,race-theory|philology|humanities-history|purva-paksha,purva-paksha,Traces race theory inside Western philology and humanities — critique of the scholarly apparatus that produced Indology
The Passion of Paul Hacker,paul-hacker|scholarly-biography|theological-polemics,paul-hacker|scholarly-biography|theological-polemics|purva-paksha,purva-paksha,"Critical biography of Paul Hacker, German Indologist and polemicist — exemplary purva-paksha of a hostile scholar"
The Real Threat to Humanities Today,humanities-crisis|academic-method|institutional-critique,humanities-crisis|academic-method|institutional-critique|purva-paksha,purva-paksha,Institutional critique of Western humanities — purva-paksha framing of the academic structures that contain Indology
