id,name,author,type,link,linkreal,slug,linkfinal,description,short,linkfinal2
1,Cry Hindutva How Rhetoric Trumps Intellect,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1PuI-DoMDEcJ3J_sYa40p13qJ6ytt0NVn/view?usp=sharing,https://drive.google.com/file/d/1PuI-DoMDEcJ3J_sYa40p13qJ6ytt0NVn/preview,cry-hindutva-how-rhetoric-trumps-intellect,/library/cry-hindutva-how-rhetoric-trumps-intellect,,Critical intervention on contemporary Hindutva rhetoric and the costs of replacing scholarship with slogans.,/library/books/cry-hindutva-how-rhetoric-trumps-intellect
2,German Indology Aryanism and Anti Semitism,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1mY8du43QI5oCJdP7g1pYJnZOL8Fm8jMJ/view?usp=sharing,https://drive.google.com/file/d/1mY8du43QI5oCJdP7g1pYJnZOL8Fm8jMJ/preview,german-indology-aryanism-and-anti-semitism,/library/german-indology-aryanism-and-anti-semitism,,"Study of German Indology and its entanglement with racial theory, Aryanism, and anti-Semitism.",/library/books/german-indology-aryanism-and-anti-semitism
3,Greeks in India,Demettios Vasilliades,shatrubodha,https://drive.google.com/file/d/1fYSbLdUpsooEozbTFQ3ObBeRhi9pQ1Hb/view?usp=sharing,https://drive.google.com/file/d/1fYSbLdUpsooEozbTFQ3ObBeRhi9pQ1Hb/preview,greeks-in-india,/library/greeks-in-india,,Historical study of Greek presence in India and the cultural exchanges that followed.,/library/books/greeks-in-india
4,Heidegger and the Inquiry into Technology,Joydeep Bagchee,shatrubodha,https://drive.google.com/file/d/1YhIZnEjC76naSMHLhx2BdEsR0gZ06AEU/view?usp=sharing,https://drive.google.com/file/d/1YhIZnEjC76naSMHLhx2BdEsR0gZ06AEU/preview,heidegger-and-the-inquiry-into-technology,/library/heidegger-and-the-inquiry-into-technology,,"Essay using Heidegger to interrogate technology, modernity, and civilizational critique.",/library/books/heidegger-and-the-inquiry-into-technology
5,Hindu Studies in a Secular Academy,Vishwa Adluri,shatrubodha,https://drive.google.com/file/d/1N5L4L08SB7SH-6em9eWT173c5YP8yeIv/view?usp=sharing,https://drive.google.com/file/d/1N5L4L08SB7SH-6em9eWT173c5YP8yeIv/preview,hindu-studies-in-a-secular-academy,/library/hindu-studies-in-a-secular-academy,,Reflection on the institutional framing of Hindu studies and the limits of secular academic categories.,/library/books/hindu-studies-in-a-secular-academy
6,Hindu Temples Vol 1,Sita Ram Goel,shatrubodha,https://drive.google.com/file/d/1iq1ASvQ079jozMUSMzyvKBma9C6OEZTp/view?usp=sharing,https://drive.google.com/file/d/1iq1ASvQ079jozMUSMzyvKBma9C6OEZTp/preview,hindu-temples-vol-1,/library/hindu-temples-vol-1,,"Documentation and interpretation of the destruction, transformation, and historical memory of Hindu temples.",/library/books/hindu-temples-vol-1
7,Hindu Temples Vol 2,Sita Ram Goel,shatrubodha,https://drive.google.com/file/d/1HSfvPsC65NiwCxed_JqZyEPbIMBW0fSg/view?usp=sharing,https://drive.google.com/file/d/1HSfvPsC65NiwCxed_JqZyEPbIMBW0fSg/preview,hindu-temples-vol-2,/library/hindu-temples-vol-2,,"Continuation of the documentary record on Hindu temples, iconoclasm, and historical memory.",/library/books/hindu-temples-vol-2
8,How I Became a Hindu,Sita Ram Goel,shatrubodha,https://drive.google.com/file/d/1M4Nc7Yb_D4l72Qvl8NU8g50paIgkhxGD/view?usp=sharing,https://drive.google.com/file/d/1M4Nc7Yb_D4l72Qvl8NU8g50paIgkhxGD/preview,how-i-became-a-hindu,/library/how-i-became-a-hindu,,"Personal and polemical reflection on religious identity, conviction, and civilizational self-understanding.",/library/books/how-i-became-a-hindu
9,Jews and Hindus in Indology,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1K1cNC1_2xpNdKohw4k6Zs5y-7ztWvSa9/view?usp=sharing,https://drive.google.com/file/d/1K1cNC1_2xpNdKohw4k6Zs5y-7ztWvSa9/preview,jews-and-hindus-in-indology,/library/jews-and-hindus-in-indology,,Comparative study of how Jewish and Hindu traditions have been handled within modern Indology.,/library/books/jews-and-hindus-in-indology
10,Methods and Context Rethinking Religion,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1X3AYwQhilqLbb7R0CUUV8VU-V4_d5O7c/view?usp=sharing,https://drive.google.com/file/d/1X3AYwQhilqLbb7R0CUUV8VU-V4_d5O7c/preview,methods-and-context-rethinking-religion,/library/methods-and-context-rethinking-religion,,Methodological critique of dominant religious-studies frameworks and their application to India.,/library/books/methods-and-context-rethinking-religion
