source_id,target_id,edge_type,notes
thinker:dharampal,book:bol-the-beautiful-tree,authored,Foundational text on pre-colonial Indian education
thinker:dharampal,book:bol-civil-disobedience-in-indian-tradition,authored,
thinker:dharampal,"book:bol-essays-on-tradition,-recovery-and-freedom",authored,
thinker:dharampal,book:bol-indian-science-and-technology-in-the-18th-century,authored,
thinker:dharampal,book:bol-panchayat-raj-and-india's-polity,authored,
thinker:dharampal,book:bol-rediscovering-india,authored,
thinker:ak-saran,book:bol-gandhis-theory-of-society-and-our-times,authored,
thinker:ak-saran,book:bol-the-crisis-of-hinduism,authored,
thinker:km-munshi,b1000:681,authored,Foundations of Indian Culture
thinker:dharampal,school:dharampal-svayambodha-school,founded,Dharampal is the founding figure; school bears his name
thinker:ram-swarup,school:voice-of-india-shatrubodha-school,founded,Ram Swarup co-founded Voice of India with Sita Ram Goel in 1981
thinker:ak-saran,school:dharampal-svayambodha-school,member_of,AK Saran was a Gandhian sociologist and intellectual peer of Dharampal
thinker:eo-wilson,school:conscilience-school,member_of,Wilson coined 'consilience'; the school is named after his 1998 book
thinker:ivan-illich,school:cultural-traditionalists-school,member_of,Illich's deschooling and institutional critique is canonical cultural traditionalism
thinker:theodore-dalrymple,school:cultural-traditionalists-school,member_of,Dalrymple is a cultural conservative critic of post-1960s liberal institutions
thinker:nassim-nicholas-taleb,school:political-traditionalists-school,member_of,Taleb's antifragility and skin-in-the-game arguments are a form of political traditionalism
thinker:km-munshi,school:swami-vivekananda-school,member_of,Munshi's cultural nationalism was shaped by Vivekananda's civilizational vision; founded Bharatiya Vidya Bhavan
thinker:ivan-illich,thinker:dharampal,influences,Illich's Deschooling Society (1971) ran parallel to and reinforced Dharampal's archival research; Dharampal cited Illich in later essays
thinker:ak-saran,thinker:dharampal,influences,Saran's sociological framework for analysing modernity's disruption of Hindu society shaped Dharampal's approach
thinker:vs-naipaul,thinker:ram-swarup,influences,Naipaul's India trilogy engaged with the same civilizational questions; they were in dialogue in Delhi intellectual circles
thinker:alexander-solzhenitsyn,thinker:ak-saran,influences,Solzhenitsyn's civilizational critique of the West from a non-liberal standpoint is a structural parallel to Saran's critique from a Hindu one
project:battle-for-dharma-north-east,question:what-will-destroy,investigates,Direct investigation of missionary-demographic threat in Northeast India
project:dangs-anatomy-of-religious-terror,question:what-will-destroy,investigates,Case study of organised religious terror and conversion in Dangs
project:year-in-hajong-village,question:what-will-destroy,investigates,Ethnographic account of tribal village under conversion pressure in Northeast India
project:hindu-response-to-enlightenment,question:will-save-sanatana-dharma,investigates,Central question: what is the Hindu intellectual response to modernity
project:hindu-response-to-enlightenment,question:modernity-and-hindu-values,investigates,Directly examines the encounter between Enlightenment thought and Hindu values
project:hindu-frameworks-of-education,question:core-of-sanatana-dharma,investigates,Education as the transmission mechanism of civilizational knowledge
project:hindu-frameworks-of-education,question:will-save-sanatana-dharma,investigates,Educational frameworks as an answer to civilizational survival
project:hindu-models-of-temple-management,question:hindu-institution-generate,investigates,Temples as generative institutions — how they can be restored to that function
project:structure-of-hindu-charity,question:hindu-institution-generate,investigates,Dana as an institution that generates social trust and community
project:interchanging-dynamics-of-hindu-family,question:hindu-institution-generate,investigates,The family as the primary institution of Hindu civilizational reproduction
project:hindu-school-of-history,question:being-indian,investigates,A Hindu historiography is the precondition for knowing what 'being Indian' means
project:artist-in-art,question:core-of-sanatana-dharma,investigates,Hindu aesthetics as an expression of dharmic cosmology — art as civilizational core
