title,linkpath,change_type,current_tags,proposed_tags,cur_d1,cur_d2,cur_l1,cur_l2,new_d1,new_d2,new_l1,new_l2,d1_changed,lens_changed,reason
Ahoi Aṣtamī – How Hindu Dharma Teaches Deep Ecology through Festivals,/blog/ahoiashtami,domain-fix,"ecology, festivals","festivals, ecology",civilizational-consciousness,festivals-and-living-tradition,ecology,,festivals-and-living-tradition,civilizational-consciousness,ecology,,YES,,ecology first → D1=civ-consciousness; reorder: festivals first → D1=festivals-and-living-tradition
Brahmacāriṇī | Navadurgā - Part 2,/blog/brahmacharini,domain-fix,"svayambodha, navaratri, devi","navaratri, devi-mahatmya, svayambodha",civilizational-consciousness,festivals-and-living-tradition,svayambodha,,festivals-and-living-tradition,puranas-and-itihasa,svayambodha,,YES,,same fix as Śailaputrī
Candraghaṇṭā | Navadurgā - Part 3,/blog/chandraghanta,domain-fix,"svayambodha, navaratri, devi","navaratri, devi-mahatmya, svayambodha",civilizational-consciousness,festivals-and-living-tradition,svayambodha,,festivals-and-living-tradition,puranas-and-itihasa,svayambodha,,YES,,same
Dāśarājña Recontextualized - Part 1,/blog/dasharajna1,domain-fix,"history, civilizational-consciousness","rigvedic-history, history, civilizational-consciousness",history-and-civilizational-recovery,civilizational-consciousness,civilizational-consciousness,,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,civilizational-consciousness,,YES,,"add rigvedic-history first → D1=sindhu-sarasvati-and-origins (Battle of Ten Kings is Rigvedic history, not generic)"
Dāśarājña Recontextualized - Part 2,/blog/dasharajna2,domain-fix,"history, civilizational-consciousness","rigvedic-history, history, civilizational-consciousness",history-and-civilizational-recovery,civilizational-consciousness,civilizational-consciousness,,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,civilizational-consciousness,,YES,,same
Dāśarājña Recontextualized - Part 3,/blog/dasharajna3,domain-fix,"history, civilizational-consciousness","rigvedic-history, history, civilizational-consciousness",history-and-civilizational-recovery,civilizational-consciousness,civilizational-consciousness,,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,civilizational-consciousness,,YES,,same
History is Ontic but Itihāsa is Ontologic – a Fractal Maṇḍala Essay,/blog/historyvsitihasa,domain-fix,"history, civilizational-consciousness","itihasa, history, civilizational-consciousness",history-and-civilizational-recovery,civilizational-consciousness,civilizational-consciousness,,puranas-and-itihasa,history-and-civilizational-recovery,civilizational-consciousness,,YES,,"add itihasa first → D1=puranas-and-itihasa; post is philosophy-of-itihasa argument, not generic history"
Kālarātri | Navadurgā - Part 7,/blog/kalaratri,domain-fix,"svayambodha, navaratri, devi","navaratri, devi-mahatmya, svayambodha",civilizational-consciousness,festivals-and-living-tradition,svayambodha,,festivals-and-living-tradition,puranas-and-itihasa,svayambodha,,YES,,same
Kātyāyanī | Navadurgā - Part 6,/blog/katyayani,domain-fix,"svayambodha, navaratri, devi","navaratri, devi-mahatmya, svayambodha",civilizational-consciousness,festivals-and-living-tradition,svayambodha,,festivals-and-living-tradition,puranas-and-itihasa,svayambodha,,YES,,same
Kūṣmāṇḍā | Navadurgā - Part 4,/blog/kushmanda,domain-fix,"svayambodha, navaratri, devi","navaratri, devi-mahatmya, svayambodha",civilizational-consciousness,festivals-and-living-tradition,svayambodha,,festivals-and-living-tradition,puranas-and-itihasa,svayambodha,,YES,,same
Mahāgaurī | Navadurgā - Part 8,/blog/mahagauri,domain-fix,"svayambodha, navaratri, devi","navaratri, devi-mahatmya, svayambodha",civilizational-consciousness,festivals-and-living-tradition,svayambodha,,festivals-and-living-tradition,puranas-and-itihasa,svayambodha,,YES,,same
"Rāma’s Journey – the Avatāra in You, a Fractal Maṇḍala Essay",/blog/ramasjourney,domain-fix,"festivals, civilizational-consciousness, rama","rama, festivals, civilizational-consciousness",festivals-and-living-tradition,civilizational-consciousness,civilizational-consciousness,,puranas-and-itihasa,festivals-and-living-tradition,civilizational-consciousness,,YES,,"put rama first → D1=puranas-and-itihasa; this is a Ramayana essay with Dipavali frame, not primarily a festival post"
Siddhidātrī | Navadurgā - Part 9,/blog/siddhidatri,domain-fix,"svayambodha, navaratri, devi","navaratri, devi-mahatmya, svayambodha",civilizational-consciousness,festivals-and-living-tradition,svayambodha,,festivals-and-living-tradition,puranas-and-itihasa,svayambodha,,YES,,same
Skandamātā | Navadurgā - Part 5,/blog/skandamata,domain-fix,"svayambodha, navaratri, devi","navaratri, devi-mahatmya, svayambodha",civilizational-consciousness,festivals-and-living-tradition,svayambodha,,festivals-and-living-tradition,puranas-and-itihasa,svayambodha,,YES,,same
Śailaputrī | Navadurgā - Part 1,/blog/shailaputri,domain-fix,"svayambodha, navaratri, devi","navaratri, devi-mahatmya, svayambodha",civilizational-consciousness,festivals-and-living-tradition,svayambodha,,festivals-and-living-tradition,puranas-and-itihasa,svayambodha,,YES,,svayambodha first → D1=civ-consciousness; navaratri first → D1=festivals-and-living-tradition; devi-mahatmya → D2=puranas-and-itihasa
"Bhāratīya Wanderlust - A Defence of the Out-of-India Model (OIT), Part 1",/blog/bharatiya-wanderlust-1,domain-fix+add-lens,"history, out-of-india-theory","out-of-india-theory, history, shatrubodha",history-and-civilizational-recovery,sindhu-sarasvati-and-origins,,,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,shatrubodha,,YES,YES,out-of-india-theory first → D1=sindhu-sarasvati-and-origins; add shatrubodha: defending OIT against AIT is paradigmatic shatrubodha
"Bhāratīya Wanderlust - A Defence of the Out-of-India Model (OIT), Part 2",/blog/bharatiya-wanderlust-2,domain-fix+add-lens,"history, out-of-india-theory","out-of-india-theory, history, shatrubodha",history-and-civilizational-recovery,sindhu-sarasvati-and-origins,,,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,shatrubodha,,YES,YES,same
"Bhāratīya Wanderlust - A Defence of the Out-of-India Model (OIT), Part 3",/blog/bharatiya-wanderlust-3,domain-fix+add-lens,"history, out-of-india-theory","out-of-india-theory, history, shatrubodha",history-and-civilizational-recovery,sindhu-sarasvati-and-origins,,,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,shatrubodha,,YES,YES,same
Sanskṛta vs. FATE Languages,/blog/sanskritvsfate,domain-fix+add-lens,"aesthetics, sanskrit","sanskrit, aesthetics, shatrubodha",arts-and-aesthetics,language-and-sanskrit,,,language-and-sanskrit,arts-and-aesthetics,shatrubodha,,YES,YES,put sanskrit first → D1=language-and-sanskrit; FATE = adversarial framing → shatrubodha lens
Hinduism in the Blind Spot - Part 1,/blog/hinduisminblindspot1,add-lens+domain,consciousness,"indological-critique, civilizational-consciousness, svayambodha",darshanas-and-philosophy,civilizational-consciousness,,,indology-and-civilizational-critique,civilizational-consciousness,purva-paksha,civilizational-consciousness,YES,YES,replace vague consciousness; indological-critique → D1=indology-and-civilizational-critique; svayambodha lens
Hinduism in the Blind Spot - Part 2,/blog/hinduisminblindspot2,add-lens+domain,consciousness,"indological-critique, civilizational-consciousness, svayambodha",darshanas-and-philosophy,civilizational-consciousness,,,indology-and-civilizational-critique,civilizational-consciousness,purva-paksha,civilizational-consciousness,YES,YES,same
Towards Dharma-centric Polity - Lokmanya Tilak and the Universalization of Gaṇeśa Utsava,/blog/towardsdharmacentricpolity,add-lens+domain,"festivals, tradition","festivals, modern-politics, tradition, svayambodha",festivals-and-living-tradition,,,,festivals-and-living-tradition,dharmashastra-and-polity,svayambodha,,,YES,add modern-politics → D2=dharmashastra-and-polity (Tilak mobilisation); svayambodha
Turners of Time - How Hindu Festivals Rotate the Year,/blog/turnersoftime,add-lens+domain,festivals,"festivals, cyclical-time, svayambodha",festivals-and-living-tradition,,,,festivals-and-living-tradition,puranas-and-itihasa,svayambodha,,,YES,add cyclical-time → D2=puranas-and-itihasa (Puranic time cycles); svayambodha
Kannur - Discovering the Sacred Heart of Kerala through Bodha Anveshi,/blog/kannur-sacred-heart-of-kerala,add-lens+tag-quality,"anveshi, kerala, tourism","anveshi, sacred-geography, svayambodha",sacred-geography-and-temple,festivals-and-living-tradition,,,sacred-geography-and-temple,festivals-and-living-tradition,svayambodha,,,YES,drop kerala and tourism (no keyword value); add sacred-geography; svayambodha
Art and Meaning Making,/blog/artandmeaningmaking,add-lens,"aesthetics, consciousness, culture","aesthetics, svayambodha, consciousness",arts-and-aesthetics,darshanas-and-philosophy,,,arts-and-aesthetics,civilizational-consciousness,svayambodha,,,YES,Hindu aesthetics begins where Western aesthetics ends — civilizational self-knowledge → svayambodha
Chaṭh - a Living Tradition and Cultural Homecoming,/blog/chath,add-lens,"festivals, tradition","festivals, tradition, svayambodha",festivals-and-living-tradition,,,,festivals-and-living-tradition,civilizational-consciousness,svayambodha,,,YES,festival survival as civilizational memory and homecoming → svayambodha
Decolonizing Language,/blog/decolonizinglanguage,add-lens,"language, sanskrit","language, sanskrit, svayambodha",language-and-sanskrit,,,,language-and-sanskrit,civilizational-consciousness,svayambodha,,,YES,reclaiming Sanskrit cognitive inheritance from colonial languages → svayambodha
