node_id,title,author,type,source,domain_1,domain_2,lens
blog:14-lokas-0-telescopes,14 Lokas and 0 Telescopes - The Cosmos SETI Cannot Scan,Amritanshu Pandey,blog,library,puranas-and-itihasa,civilizational-consciousness,svayambodha
blog:kannur-sacred-heart-of-kerala,Kannur - Discovering the Sacred Heart of Kerala through Bodha Anveshi,Pankaj Saxena,blog,library,sacred-geography-and-temple,festivals-and-living-tradition,svayambodha
blog:how-to-build-a-civilization,How to Build a Civilization,Amritanshu Pandey,blog,library,civilizational-consciousness,language-and-sanskrit,civilizational-consciousness
blog:journey-with-anveshi,My Journey with Anveshi,Pankaj Saxena,blog,library,sacred-geography-and-temple,festivals-and-living-tradition,svayambodha
blog:what-bodha-logo-means,"What the Bodha Logo Means - The Square, the Circle and the Eye of Wisdom",Pankaj Saxena,blog,library,civilizational-consciousness,,civilizational-consciousness
blog:bodha-pyramid-of-priorities-nature-of-hindu-orgs,"Bodha, the Pyramid of Priorities and the Nature of Hindu Organizations",Pankaj Saxena,blog,library,civilizational-consciousness,dharmashastra-and-polity,civilizational-consciousness
blog:svayambodha-and-shatrubodha-review,Book Review | Svayambodha and Shatrubodha,Amritanshu Pandey,blog,library,history-and-civilizational-recovery,indology-and-civilizational-critique,shatrubodha
blog:civilizations-as-karmic-streams,Civilizations as Kārmika Streams,Amritanshu Pandey,blog,library,civilizational-consciousness,history-and-civilizational-recovery,civilizational-consciousness
blog:dharmika-frame-for-sustainability-and-technology,A Dharmika Frame for Sustainability and Technology,Amritanshu Pandey,blog,library,civilizational-consciousness,,civilizational-consciousness
blog:siddhidatri,Siddhidātrī | Navadurgā - Part 9,Padmavathy Manavazhahan,blog,library,festivals-and-living-tradition,puranas-and-itihasa,svayambodha
blog:mahagauri,Mahāgaurī | Navadurgā - Part 8,Padmavathy Manavazhahan,blog,library,festivals-and-living-tradition,puranas-and-itihasa,svayambodha
blog:kalaratri,Kālarātri | Navadurgā - Part 7,Padmavathy Manavazhahan,blog,library,festivals-and-living-tradition,puranas-and-itihasa,svayambodha
blog:katyayani,Kātyāyanī | Navadurgā - Part 6,Padmavathy Manavazhahan,blog,library,festivals-and-living-tradition,puranas-and-itihasa,svayambodha
blog:skandamata,Skandamātā | Navadurgā - Part 5,Padmavathy Manavazhahan,blog,library,festivals-and-living-tradition,puranas-and-itihasa,svayambodha
blog:kushmanda,Kūṣmāṇḍā | Navadurgā - Part 4,Padmavathy Manavazhahan,blog,library,festivals-and-living-tradition,puranas-and-itihasa,svayambodha
blog:chandraghanta,Candraghaṇṭā | Navadurgā - Part 3,Padmavathy Manavazhahan,blog,library,festivals-and-living-tradition,puranas-and-itihasa,svayambodha
blog:brahmacharini,Brahmacāriṇī | Navadurgā - Part 2,Padmavathy Manavazhahan,blog,library,festivals-and-living-tradition,puranas-and-itihasa,svayambodha
blog:shailaputri,Śailaputrī | Navadurgā - Part 1,Padmavathy Manavazhahan,blog,library,festivals-and-living-tradition,puranas-and-itihasa,svayambodha
blog:grandhistoryone,"Grand History, Part 1",Amritanshu Pandey,blog,library,history-and-civilizational-recovery,civilizational-consciousness,civilizational-consciousness
blog:difference-between-us,The Difference Between Us - on One-life vs. Multiple-life Metaphysics,Amritanshu Pandey,blog,library,darshanas-and-philosophy,civilizational-consciousness,svayambodha
blog:bharatiya-wanderlust-1,"Bhāratīya Wanderlust - A Defence of the Out-of-India Model (OIT), Part 1",Amritanshu Pandey,blog,library,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,shatrubodha
blog:bharatiya-wanderlust-2,"Bhāratīya Wanderlust - A Defence of the Out-of-India Model (OIT), Part 2",Amritanshu Pandey,blog,library,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,shatrubodha
blog:bharatiya-wanderlust-3,"Bhāratīya Wanderlust - A Defence of the Out-of-India Model (OIT), Part 3",Amritanshu Pandey,blog,library,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,shatrubodha
blog:returnoframa,राम आयेंगे!,Pankaj Saxena,blog,library,puranas-and-itihasa,civilizational-consciousness,svayambodha
blog:hinduisminblindspot2,Hinduism in the Blind Spot - Part 2,Amritanshu Pandey,blog,library,indology-and-civilizational-critique,civilizational-consciousness,purva-paksha
blog:hinduisminblindspot1,Hinduism in the Blind Spot - Part 1,Amritanshu Pandey,blog,library,indology-and-civilizational-critique,civilizational-consciousness,purva-paksha
