id,title,id-slug,author,description,reading-path,section,subsection,link,preree,slug,domain,core-of-sanatana-dharma,being-indian,what-will-destroy,hindu-institution-generate,will-save-sanatana-dharma,modernity-and-hindu-values,hindu-unity-and-diversity,new-indian-republic,hindu-renaissance,practice-but-not-proven,hindu-frameworks-of-education,hindu-models-of-temple-management,interchanging-dynamics-of-hindu-family,structure-of-hindu-charity,temples-of-madhya-pradesh,battle-for-dharma-north-east,impact-of-conversion-kekadia,year-in-hajong-village,artist-in-art,hindu-response-to-enlightenment,hindu-school-of-history
1,The Rig Veda,1-the-rig-veda,Ralph T. H. Griffith,Complete 1896 verse translation of the Rig Veda by Griffith - the most widely read free English version of Hinduism's oldest scripture.,,Shruti - The Foundational Revelation,The Vedas (Samhitas),https://sacred-texts.com/hin/rigveda/index.htm,the rig veda,the-rig-veda,sruti-and-veda,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
2,The Riks,2-the-riks,Shri Paramasiva Iyer,"An emic reading of the Rigveda, its meaning, and how it is best understood as a collection of ""primeval gleams of light and fire.""",,Shruti - The Foundational Revelation,The Vedas (Samhitas),https://www.bodharesearch.in/library/books/the-riks,the riks,the-riks,sruti-and-veda,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
3,The Rigveda: The Earliest Religious Poetry of India,3-the-rigveda-the-earliest-religious-poetry-of-india,Stephanie Jamison & Joel Brereton,Award-winning 2014 Oxford translation of the entire Rigveda - the new scholarly standard for accuracy in rendering Vedic Sanskrit poetry.,,Shruti - The Foundational Revelation,The Vedas (Samhitas),https://archive.org/search?query=%22The%20Rigveda%22%20Stephanie%20Jamison%20%26%20Joel%20Brereton,the rigveda: the earliest religious poetry of india,the-rigveda-the-earliest-religious-poetry-of-india,sruti-and-veda,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
4,Hymns of the Rigveda,4-hymns-of-the-rigveda,H. H. Wilson,Wilson's classical English translation of the Rigveda based on Sayana's 14th-century Sanskrit commentary - historically influential edition.,,Shruti - The Foundational Revelation,The Vedas (Samhitas),https://archive.org/details/RigVeda-EnglishTranslation-H.h.Wilson,hymns of the rigveda,hymns-of-the-rigveda,sruti-and-veda,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
5,The Rig Veda Samhita,5-the-rig-veda-samhita,"Sri Aurobindo (selections, with commentary)",Sri Aurobindo's translation of selected Rig Vedic hymns with esoteric and yogic commentary drawing out their inner spiritual meaning.,,Shruti - The Foundational Revelation,The Vedas (Samhitas),https://archive.org/search?query=%22The%20Rig%20Veda%20Samhita%22%20Sri%20Aurobindo,the rig veda samhita,the-rig-veda-samhita,sruti-and-veda,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
6,The Secret of the Veda,6-the-secret-of-the-veda,Sri Aurobindo,"Aurobindo's foundational work decoding Vedic symbolism - argues the Rig Veda is a record of spiritual experience, not primitive nature worship.",6-evolutionary-spirit,Shruti - The Foundational Revelation,The Vedas (Samhitas),https://www.aurobindo.ru/workings/sa/15/0015_e.pdf,the secret of the veda,the-secret-of-the-veda,sruti-and-veda,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
7,Hymns to the Mystic Fire,7-hymns-to-the-mystic-fire,Sri Aurobindo,"Aurobindo's translations and commentary on Agni hymns from the Rig Veda, revealing the mystic fire as a symbol of inner spiritual aspiration.",,Shruti - The Foundational Revelation,The Vedas (Samhitas),https://www.aurobindo.ru/workings/sa/16/0016_e.pdf,hymns to the mystic fire,hymns-to-the-mystic-fire,sruti-and-veda,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
8,The Sama Veda,8-the-sama-veda,Ralph T. H. Griffith,"Griffith's complete English translation of the Sama Veda - the Veda of melody, foundation of Indian classical music and chant tradition.",,Shruti - The Foundational Revelation,The Vedas (Samhitas),https://sacred-texts.com/hin/sv.htm,the sama veda,the-sama-veda,sruti-and-veda,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
9,Hymns of the Samaveda,9-hymns-of-the-samaveda,Devi Chand,"Devi Chand's Arya Samaj-inflected translation of the Sama Veda hymns, with Sanskrit text and devotional interpretation of each verse.",,Shruti - The Foundational Revelation,The Vedas (Samhitas),https://archive.org/search?query=%22Hymns%20of%20the%20Samaveda%22%20Devi%20Chand,hymns of the samaveda,hymns-of-the-samaveda,sruti-and-veda,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
10,The Yajur Veda (White),10-the-yajur-veda-white,Ralph T. H. Griffith,Griffith's translation of the Vajasaneyi Samhita (White Yajur Veda) - sacrificial mantras central to Vedic ritual and yajna performance.,,Shruti - The Foundational Revelation,The Vedas (Samhitas),https://sacred-texts.com/hin/wyv/index.htm,the yajur veda (white),the-yajur-veda-white,sruti-and-veda,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE
